XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-29.24118,-359.8075,-7.643646,-0.07105742,-0.04447165,-0.2709779,5.499997,0,29.08284
-29.31055,3.947094,-9.069336,-0.06459623,-0.04438717,-0.2721311,5.599997,0,33.01573
-29.40192,8.225983,-10.26822,-0.05736123,-0.04480028,-0.2729263,5.699997,0,38.37341
-29.0936,11.66161,-11.05313,-0.05085812,-0.04538852,-0.2740473,5.799997,0,31.42939
-28.72198,14.37653,-11.53772,-0.04576544,-0.04571338,-0.2748825,5.899997,0,25.43603
-26.82669,17.33498,-12.0289,-0.04149396,-0.04814994,-0.2755117,5.999997,0,33.50993
-22.95511,21.6714,-13.172,-0.03605735,-0.05291221,-0.27659,6.099997,0,55.60334
-18.77414,25.44487,-14.21649,-0.03143657,-0.05840274,-0.2782612,6.199996,0,54.76908
-16.67133,26.80094,-14.72513,-0.02912556,-0.06158638,-0.2791607,6.299996,0,24.69277
-15.38553,25.99784,-15.06522,-0.02932797,-0.06352304,-0.2784791,6.399996,0,16.00794
-14.21912,24.13034,-15.35776,-0.03069407,-0.06565113,-0.2764827,6.499996,0,22.82821
-12.73486,21.88544,-15.46988,-0.03294002,-0.0679359,-0.273847,6.599996,0,27.15365
-11.70175,19.99642,-15.06049,-0.03504299,-0.06942563,-0.2706577,6.699996,0,21.15909
-11.2027,18.86334,-14.47452,-0.03698201,-0.06996077,-0.2680404,6.799996,0,12.6978
-10.89575,18.12905,-13.76553,-0.03877754,-0.07029212,-0.2661059,6.899996,0,9.683277
-10.87445,18.0228,-13.28366,-0.0396357,-0.07009769,-0.2649965,6.999996,0,4.747765
-10.84634,18.11377,-12.94223,-0.04004884,-0.06987746,-0.2651103,7.099996,0,3.711498
-10.75638,17.72032,-12.67651,-0.04114026,-0.07004617,-0.2653806,7.199996,0,4.405739
-10.41483,16.781,-12.37405,-0.04291484,-0.07070978,-0.2651927,7.299995,0,9.922803
-10.08798,16.07742,-12.22009,-0.04426726,-0.07135875,-0.2647059,7.399995,0,7.661682
