XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
19.82808,17.83783,-5.631378,0.04327033,-0.0327094,-0.004171102,7.299995,0
20.24009,15.59681,-5.368317,0.03867321,-0.03422203,-0.0008948287,7.399995,0
22.37796,12.2704,-5.816498,0.03161827,-0.0391985,0.002527905,7.499995,0
25.18696,2.66292,-7.405609,0.0128883,-0.04606573,0.007460393,7.599995,0
23.89721,-9.606476,-9.15741,-0.01210475,-0.04700042,0.00953839,7.699995,0
22.65663,-15.10687,-9.661713,-0.02765838,-0.0451231,0.009620819,7.799995,0
19.80651,-16.86478,-9.911133,-0.03396519,-0.03892209,0.007883205,7.899995,0
17.04746,-17.80527,-9.19751,-0.03865796,-0.03341795,0.005654224,7.999995,0
15.06296,-22.66064,-8.273743,-0.0509018,-0.02973908,0.002186833,8.099995,0
13.05336,-28.3064,-5.844757,-0.06603941,-0.02520458,-0.003067136,8.199995,0
11.96601,-31.36267,-3.430115,-0.07677302,-0.02233301,-0.008498833,8.299995,0
12.12172,-34.18399,358.541,-0.08635379,-0.02175977,-0.0138719,8.399996,0
14.19435,-37.09491,359.481,-0.09591701,-0.02630214,-0.01805083,8.499996,0
19.12226,-39.36761,0.05756605,-0.1064467,-0.03721007,-0.02193261,8.599997,0
22.6279,-41.71082,359.5396,-0.1113815,-0.04526662,-0.02877041,8.699997,0
23.60598,-42.80264,359.0415,-0.1118954,-0.04695211,-0.03539449,8.799997,0
23.52849,-42.95425,359.2006,-0.1116231,-0.04671778,-0.03992352,8.899998,0
22.42222,-39.61639,359.6709,-0.1030189,-0.04249047,-0.03957535,8.999998,0
20.39735,-26.68869,2.385062,-0.07841124,-0.03314985,-0.0321575,9.099998,0
11.99573,1.215319,6.591929,-0.01905945,-0.01416873,-0.02377043,9.199999,0
7.934134,30.91479,2.720773,0.05046003,-0.004204523,-0.04140956,9.299999,0
9.543845,56.15023,-359.5455,0.102717,-0.006082446,-0.07658744,9.4,0
10.87026,68.60639,-1.08429,0.1270853,-0.008855883,-0.1046012,9.5,0
11.49469,78.15388,-2.485535,0.1418774,-0.01115814,-0.1298835,9.6,0
12.18154,85.51609,-2.63736,0.1497555,-0.01368762,-0.1504432,9.700001,0
13.47682,95.71513,-2.862457,0.1514159,-0.01825982,-0.1759299,9.800001,0
14.66961,105.9418,-3.045593,0.1468052,-0.02233312,-0.2022175,9.900002,0
16.89568,112.883,-2.975922,0.1379375,-0.02808803,-0.2235833,10,0
19.24716,119.1547,-2.701721,0.1259887,-0.03487754,-0.2401595,10.1,0
22.12229,122.7251,-2.286682,0.1163154,-0.04189764,-0.2510508,10.2,0
24.44294,126.506,-1.627747,0.1074134,-0.04900543,-0.2600405,10.3,0
26.94653,131.4443,-1.050842,0.0970181,-0.05662879,-0.2692384,10.4,0
28.37813,134.4312,-0.7124939,0.08897475,-0.06033765,-0.2743139,10.5,0
29.16776,136.6569,-0.4249268,0.08357187,-0.06412391,-0.2782688,10.6,0
30.71307,138.8869,-359.9431,0.07953408,-0.06842216,-0.2819613,10.7,0
31.83602,139.63,-359.7773,0.07923767,-0.07165202,-0.285912,10.8,0
32.82812,140.521,-359.4177,0.08057562,-0.07488731,-0.290251,10.90001,0
34.02136,141.4891,-359.313,0.08263942,-0.07845395,-0.295427,11.00001,0
34.60128,142.6242,-358.9045,0.0846789,-0.08072162,-0.3004657,11.10001,0
34.94026,143.3355,-358.8383,0.0863339,-0.0823548,-0.3050433,11.20001,0
35.09546,144.1421,-358.5052,0.08716024,-0.08301366,-0.3090487,11.30001,0
34.99888,144.5043,-358.6165,0.08693847,-0.08313876,-0.3116827,11.40001,0
34.72238,145.1195,-358.5847,0.08577663,-0.08271654,-0.3138858,11.50001,0
34.65871,146.3744,-358.4002,0.08289445,-0.0832985,-0.3164129,11.60001,0
34.5111,147.6663,-358.369,0.07894962,-0.08327562,-0.3201606,11.70001,0
34.3478,148.2805,-358.8613,0.07699151,-0.08296169,-0.325871,11.80001,0
34.30225,148.5192,-359.269,0.08229792,-0.08457422,-0.3372087,11.90001,0
33.9166,147.3328,-359.8502,0.09831375,-0.08592118,-0.3514595,12.00001,0
33.91213,144.5896,-0.776886,0.1201349,-0.0872446,-0.3618308,12.10001,0
33.15302,142.5761,-0.5781555,0.1472636,-0.085696,-0.3721603,12.20001,0
32.33329,141.2768,-0.3901062,0.1685556,-0.08494399,-0.3815686,12.30001,0
31.25221,140.9563,-0.04013062,0.1855154,-0.08564965,-0.3935164,12.40001,0
31.04262,141.1309,-0.4120483,0.1957719,-0.08749652,-0.4034278,12.50001,0
29.92797,139.3871,-0.9818115,0.2000451,-0.08455386,-0.4032142,12.60001,0
28.09596,130.3807,-5.021729,0.2064786,-0.0747256,-0.3857549,12.70001,0
18.59743,98.26787,-14.24182,0.2155084,-0.04505298,-0.3194012,12.80001,0
-352.6237,68.45236,-14.04797,0.1901164,-0.0151175,-0.2372301,12.90001,0
-356.2872,56.48208,-10.4071,0.1605372,-0.0009298217,-0.1927112,13.00001,0
-359.6075,47.41478,-6.837799,0.1291325,0.0105584,-0.1539634,13.10001,0
-1.289581,41.81721,-3.568665,0.1041325,0.01521317,-0.1256042,13.20001,0
-2.319214,40.62558,-1.958771,0.0865224,0.0170741,-0.104318,13.30001,0
-2.922516,42.85199,-2.187958,0.07801005,0.01725067,-0.09192955,13.40001,0
-3.044647,45.86036,-2.237946,0.07115615,0.01619405,-0.08072148,13.50002,0
-3.190491,46.59398,-1.839081,0.064449,0.01461276,-0.07050067,13.60002,0
-2.282593,45.67922,-1.328064,0.05917636,0.01049588,-0.05877867,13.70002,0
-0.7799683,44.37602,-1.169281,0.05597409,0.00733281,-0.0510687,13.80002,0
0.3132001,41.78308,-0.7039185,0.05129464,0.004085538,-0.04611911,13.90002,0
6.886526,39.20914,-0.3286133,0.04702534,-0.007083368,-0.04256766,14.00002,0
17.25121,33.77634,-0.6539917,0.03966091,-0.02331243,-0.03833919,14.10002,0
20.71601,28.0004,-2.312653,0.03481719,-0.03119095,-0.03498918,14.20002,0
