XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-5.699921,-0.1034546,-2.632477,-0.09919982,0.01034292,-0.3574942,6.399996,0,11.58244
-5.46344,-0.3305054,-2.428253,-0.09933899,0.009452881,-0.3570154,6.499996,0,3.794913
-5.590118,-0.3001709,-2.609619,-0.09857263,0.009652476,-0.3573622,6.599996,0,2.272818
-5.824036,-0.8942566,-2.610962,-0.09916009,0.01007135,-0.3577744,6.699996,0,6.391878
-5.770477,-1.720367,-2.613159,-0.1003111,0.0101266,-0.3575133,6.799996,0,8.280293
-5.647064,-1.844482,-2.765656,-0.1005047,0.0100278,-0.357205,6.899996,0,2.373881
-5.64267,-1.507507,-2.999939,-0.09951056,0.0101021,-0.357089,6.999996,0,3.896671
-5.785858,-1.425049,-3.096283,-0.09898735,0.01046384,-0.3574772,7.099996,0,1.855748
-5.980621,-1.543091,-3.121155,-0.09897114,0.01075173,-0.3571583,7.199996,0,2.272818
-5.856323,-1.554993,-3.241333,-0.09843866,0.01075889,-0.3569045,7.299995,0,1.769387
-6.093964,-1.705566,-3.576447,-0.09669814,0.01552748,-0.3559938,7.399995,0,4.51107
-6.951355,-1.441193,-4.27359,-0.09544797,0.0212387,-0.3523324,7.499995,0,11.18363
-7.065033,-2.208954,-3.865234,-0.09722694,0.01878991,-0.349434,7.599995,0,8.336814
-6.269867,-4.427246,-3.389221,-0.09920177,0.01644677,-0.349423,7.699995,0,23.52726
-7.133514,-5.019135,-3.154144,-0.09930616,0.01257728,-0.3486499,7.799995,0,10.59422
-5.199341,-5.876678,-3.416351,-0.0984735,0.0100953,-0.3483934,7.899995,0,21.44203
-5.201996,-5.395081,-3.176392,-0.09699388,0.01155937,-0.3443753,7.999995,0,5.581291
-4.202515,-5.065216,-3.514648,-0.09572226,0.0118747,-0.3395201,8.099995,0,10.97166
-3.312347,-5.519684,-3.666473,-0.09546755,0.008482336,-0.3368816,8.199995,0,10.15668
-1.65921,-6.271973,-4.059998,-0.09602617,0.002972402,-0.3355123,8.299995,0,18.65444
-1.109283,-7.749359,-3.712952,-0.0979107,-2.090842E-05,-0.3379805,8.399996,0,16.06651
-2.241577,-9.200867,-3.373474,-0.0998257,0.001609491,-0.3386113,8.499996,0,18.64604
-1.903717,-10.58359,-3.264221,-0.100978,0.002090033,-0.335447,8.599997,0,14.24338
-1.432983,-13.84204,-3.471069,-0.1036398,0.002105815,-0.3332099,8.699997,0,33.04417
-2.534576,-25.58197,-6.42627,-0.116457,0.002702067,-0.3367755,8.799997,0,122.5313
-2.833832,-33.67664,-8.32251,-0.1256344,0.002081234,-0.3431097,8.899998,0,84.04886
-3.079071,-36.36966,-8.658081,-0.1291137,0.002026987,-0.3474315,8.999998,0,27.42043
-3.058899,-33.86716,-7.588654,-0.1276889,0.002417512,-0.3473398,9.099998,0,27.73549
-2.744476,-30.64465,-7.114044,-0.1236584,0.003173023,-0.3448607,9.199999,0,32.96115
-2.958313,-22.91293,-6.292908,-0.1114739,0.004594854,-0.3382124,9.299999,0,78.18721
-2.785156,-14.54532,-5.949554,-0.0969377,0.004295374,-0.3319752,9.4,0,83.936
