XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark,Velocity
-12.73602,43.43618,358.5924,-0.1990413,-0.3008488,0.1826622,6.599996,0,7.077557
-13.71155,43.78725,359.1864,-0.1994194,-0.2992299,0.183357,6.699996,0,12.34145
-14.95728,46.1706,359.8706,-0.1977882,-0.2963678,0.1816568,6.799996,0,29.17152
-16.55075,50.31387,359.7889,-0.1943533,-0.2934419,0.1786489,6.899996,0,44.1896
-17.43387,52.74591,0.2114829,-0.1923712,-0.2925069,0.1779515,6.999996,0,27.33752
-17.69302,53.27436,1.04233,-0.1921138,-0.2923003,0.1798424,7.099996,0,11.41225
-19.18787,56.69683,2.356662,-0.1914777,-0.2900327,0.1786512,7.199996,0,43.03537
-23.02225,68.73746,4.211835,-0.1892592,-0.2860543,0.1679354,7.299995,0,133.8445
-28.19241,84.69527,4.809149,-0.1894108,-0.280708,0.1562869,7.399995,0,170.2377
-28.01709,87.82206,6.678794,-0.1892215,-0.2791701,0.1593421,7.499995,0,43.37421
-26.81482,85.11533,8.89658,-0.1857902,-0.2791552,0.1694885,7.599995,0,28.56962
-25.92734,85.03306,10.35658,-0.1815758,-0.2773653,0.1758252,7.699995,0,16.79069
-24.75473,86.31622,9.792577,-0.1762624,-0.2737022,0.1781062,7.799995,0,16.49439
-23.10403,87.06613,8.721145,-0.1713051,-0.2672942,0.1812444,7.899995,0,19.45544
-22.23279,86.28459,8.660563,-0.167649,-0.2619127,0.1866444,7.999995,0,11.87605
-21.50446,85.95114,8.104852,-0.1638207,-0.2568044,0.1909095,8.099995,0,10.43041
-20.6998,87.99009,7.681669,-0.1601484,-0.2527281,0.1928022,8.199995,0,20.88354
-19.03317,90.45266,8.054897,-0.1561154,-0.2523914,0.1926334,8.299995,0,30.993
-18.29352,90.49528,8.530675,-0.1523311,-0.2524016,0.1893427,8.399996,0,8.891079
-14.35806,86.58497,8.306381,-0.1451691,-0.2521358,0.184866,8.499996,0,55.96127
-11.13422,83.19602,5.777961,-0.1373062,-0.2574148,0.1755576,8.599997,0,56.61091
-11.17047,82.16847,4.387816,-0.1317571,-0.2587869,0.1679969,8.699997,0,18.82569
-13.18661,81.15753,4.689836,-0.1284769,-0.2541288,0.1668433,8.799997,0,22.46878
-20.22156,85.58079,5.167322,-0.1298514,-0.2481309,0.162909,8.899998,0,83.94814
-25.57068,95.13425,5.585172,-0.1336115,-0.2409807,0.1544773,8.999998,0,110.9487
-27.40811,109.0355,2.499331,-0.1364122,-0.2392717,0.147277,9.099998,0,129.5453
-23.52826,122.7839,1.84134,-0.1363206,-0.2466759,0.1429769,9.199999,0,140.2319
-20.49487,130.6357,3.470185,-0.1356035,-0.2527339,0.1446187,9.299999,0,91.14656
-19.94843,135.7087,4.56478,-0.1393218,-0.2558964,0.1525071,9.4,0,55.74117
-20.88205,137.9301,4.898531,-0.1445249,-0.25734,0.162024,9.5,0,25.36824
-24.55664,137.2754,5.715288,-0.151564,-0.2550032,0.1796465,9.6,0,37.66303
-31.05573,134.0047,7.259304,-0.1613705,-0.2500078,0.201054,9.700001,0,71.12666
-38.69989,129.5372,9.405594,-0.1739371,-0.2453304,0.223006,9.800001,0,84.84296
-44.28464,124.5817,12.4868,-0.1865462,-0.2440998,0.2422936,9.900002,0,67.05857
-47.39337,121.0778,14.35246,-0.1978455,-0.2445435,0.2537819,10,0,40.04454
-48.39514,120.7782,14.49332,-0.2035957,-0.2453325,0.256661,10.1,0,10.23345
-50.0549,120.8457,13.88663,-0.2093422,-0.2453085,0.2577114,10.2,0,17.50279
-52.58939,118.4073,14.20849,-0.2149484,-0.2450982,0.2591386,10.3,0,33.53328
-53.90753,117.3256,13.94706,-0.2168183,-0.2448631,0.2569689,10.4,0,18.51546
-53.6875,116.9267,13.41715,-0.213638,-0.2445264,0.2508978,10.5,0,9.117087
-53.1958,116.9273,13.09527,-0.2083213,-0.2440203,0.2450575,10.6,0,5.881719
-52.54373,116.7726,12.99776,-0.2033224,-0.2434929,0.2401405,10.7,0,6.943584
-52.09045,116.4558,13.31359,-0.1990871,-0.2433224,0.2365012,10.8,0,4.957444
-51.51675,116.5961,13.55998,-0.1957886,-0.2435212,0.2337741,10.90001,0,6.806975
-51.10709,115.7408,14.2801,-0.1925868,-0.2440033,0.2328477,11.00001,0,6.737632
-50.37222,114.8522,14.78106,-0.1889769,-0.2444189,0.2329722,11.10001,0,9.429379
-49.78778,113.9442,15.5433,-0.1847668,-0.2451448,0.2341183,11.20001,0,8.280293
-49.22705,112.6618,17.00947,-0.1803381,-0.2465293,0.2353458,11.30001,0,11.17663
-48.46808,112.1421,17.47675,-0.176772,-0.2472811,0.2356021,11.40001,0,8.364932
-48.01358,111.7885,17.64951,-0.1734499,-0.2475213,0.2354212,11.50001,0,5.203926
-47.35483,111.2981,17.76304,-0.1713728,-0.2480795,0.234953,11.60001,0,7.773242
-47.01917,110.955,17.74197,-0.1706838,-0.248143,0.2342652,11.70001,0,4.909852
-47.0509,110.8048,17.71043,-0.171119,-0.247876,0.2336522,11.80001,0,1.724585
-46.96552,110.6398,17.56582,-0.1717842,-0.2479701,0.2329773,11.90001,0,2.96075
-46.75208,110.3495,17.70037,-0.172566,-0.2478717,0.2328181,12.00001,0,3.039022
-46.02988,110.3762,17.33272,-0.172625,-0.2475921,0.2304887,12.10001,0,8.011254
-44.42297,110.7702,15.97604,-0.1717736,-0.2470534,0.2248357,12.20001,0,19.53574
-42.78833,111.8919,14.18321,-0.1709417,-0.2459122,0.2160697,12.30001,0,20.90602
-41.93365,112.722,13.10463,-0.1703968,-0.245285,0.2093818,12.40001,0,11.73683
