XEuler,YEuler,ZEuler,XPosition,YPosition,ZPosition,Time,Mark
1.378484,14.27157,1.744139,-0.1987734,-0.06055827,-0.1809709,7.199996,0
1.825143,16.66589,1.970661,-0.1948782,-0.06165535,-0.1808751,7.299995,0
2.123214,19.12204,2.022462,-0.190871,-0.06267108,-0.1813169,7.399995,0
2.423469,22.13022,2.185065,-0.1867602,-0.06371026,-0.1830163,7.499995,0
2.609724,25.45577,2.640386,-0.1826065,-0.06418499,-0.1846741,7.599995,0
2.934818,26.76973,2.587583,-0.1804395,-0.06500163,-0.1855693,7.699995,0
4.047343,25.69186,2.344875,-0.1804767,-0.06639246,-0.1852231,7.799995,0
6.158351,23.9215,2.332473,-0.1818003,-0.06919248,-0.1838428,7.899995,0
8.4477,22.03731,2.34072,-0.184006,-0.07325562,-0.1811491,7.999995,0
10.34965,19.05847,2.41086,-0.1885085,-0.07645307,-0.1771813,8.099995,0
12.85013,14.84896,2.533856,-0.1960748,-0.08081912,-0.1718001,8.199995,0
14.77826,12.5387,3.12262,-0.2017224,-0.08505457,-0.1679184,8.299995,0
16.87007,10.14072,3.216803,-0.2070489,-0.08952956,-0.1644154,8.399996,0
19.2566,7.568705,3.063111,-0.2123411,-0.0939072,-0.1617299,8.499996,0
22.45671,5.514277,2.990306,-0.2160505,-0.1001245,-0.1600081,8.599997,0
26.32898,5.46391,2.663787,-0.216265,-0.1069039,-0.1581764,8.699997,0
27.85828,6.26196,2.644341,-0.2145915,-0.1107027,-0.1559174,8.799997,0
28.45679,7.031372,2.651772,-0.2125216,-0.1127323,-0.153746,8.899998,0
29.28679,6.98118,2.493578,-0.2117475,-0.1147123,-0.1521579,8.999998,0
29.44534,5.579285,1.999149,-0.212804,-0.115679,-0.1508894,9.099998,0
29.97945,3.220575,1.296952,-0.2160434,-0.1167601,-0.1506463,9.199999,0
29.65067,-0.6408386,0.6555783,-0.2223542,-0.1161613,-0.1497645,9.299999,0
29.35798,-7.705811,359.0106,-0.2331834,-0.1159387,-0.1503494,9.4,0
29.7859,-14.02249,357.7839,-0.2444113,-0.1175115,-0.1509586,9.5,0
29.49112,-17.14667,357.4666,-0.2513337,-0.1160385,-0.1509973,9.6,0
27.57699,-14.67102,358.5189,-0.2487957,-0.1107182,-0.1493813,9.700001,0
25.10142,-7.894257,359.8031,-0.2376925,-0.1048538,-0.1475518,9.800001,0
23.65532,1.574886,0.7562911,-0.2204967,-0.1009767,-0.1483868,9.900002,0
21.80553,11.80171,-358.0289,-0.2017495,-0.09664968,-0.1525097,10,0
17.71803,28.52757,-356.5533,-0.1722539,-0.08839104,-0.165712,10.1,0
14.30333,42.35344,-356.5866,-0.1498597,-0.08139397,-0.1853432,10.2,0
12.43184,51.92555,-357.4947,-0.1350671,-0.07679568,-0.2039493,10.3,0
11.03257,59.19616,-358.2445,-0.1262916,-0.07417365,-0.218473,10.4,0
10.22527,63.22686,-359.1178,-0.1220608,-0.07328615,-0.2277089,10.5,0
9.377581,66.82829,-358.9405,-0.1210308,-0.07198331,-0.234128,10.6,0
7.957274,69.33913,-359.0175,-0.1215914,-0.06965834,-0.2377968,10.7,0
6.892745,70.63713,-358.9524,-0.1235649,-0.06910543,-0.2384564,10.8,0
6.595634,70.69388,-358.8575,-0.1256067,-0.06993754,-0.2382008,10.90001,0
6.307917,70.1544,-358.7228,-0.1277206,-0.06969488,-0.2381011,11.00001,0
5.888351,68.66879,-358.5438,-0.1299486,-0.06907273,-0.2372881,11.10001,0
5.752036,64.01627,-358.2631,-0.1342902,-0.06848012,-0.2318438,11.20001,0
4.902456,55.67812,-358.1938,-0.1425228,-0.06679153,-0.2200928,11.30001,0
3.53663,44.74547,-358.945,-0.1536644,-0.06451114,-0.2069561,11.40001,0
0.8023807,32.63662,0.9518793,-0.1698173,-0.0603,-0.1935671,11.50001,0
-1.395813,25.51231,1.381161,-0.181078,-0.05726119,-0.1870205,11.60001,0
-2.310181,21.80717,1.781756,-0.1889403,-0.05630428,-0.183836,11.70001,0
-2.921417,19.39084,2.141374,-0.1948365,-0.05581315,-0.1829726,11.80001,0
-3.704895,17.74741,2.213447,-0.1987217,-0.05450181,-0.1832913,11.90001,0
-5.343353,15.1402,2.266723,-0.2025523,-0.05223116,-0.1840636,12.00001,0
-7.814911,6.42121,3.019639,-0.214672,-0.04924506,-0.1844478,12.10001,0
-8.543549,-6.129822,3.041673,-0.2309817,-0.04876629,-0.1861104,12.20001,0
-8.182556,-17.27121,3.815,-0.247004,-0.05005939,-0.1885571,12.30001,0
-7.746307,-23.32523,4.342983,-0.2576939,-0.05144807,-0.1900716,12.40001,0
-7.040497,-26.8533,4.567056,-0.2642991,-0.05312089,-0.190389,12.50001,0
-6.907135,-27.76947,4.126801,-0.2663887,-0.05380144,-0.1889337,12.60001,0
-6.914734,-28.28711,4.059444,-0.2675399,-0.05417601,-0.1870454,12.70001,0
-6.912628,-28.50491,3.865636,-0.268002,-0.05426797,-0.1853426,12.80001,0
-7.211914,-28.56915,3.639796,-0.2677702,-0.0539012,-0.1842703,12.90001,0
-7.781525,-28.12631,3.217319,-0.2666541,-0.0535496,-0.1831749,13.00001,0
-8.809998,-27.75879,2.722304,-0.2658001,-0.05222799,-0.1829109,13.10001,0
-9.221924,-27.95081,2.664643,-0.2661551,-0.05137816,-0.1838664,13.20001,0
-8.595032,-28.04297,2.745632,-0.2671707,-0.05222021,-0.1840747,13.30001,0
-7.720886,-28.21619,2.766278,-0.2681187,-0.05337758,-0.1834841,13.40001,0
-6.59436,-28.76889,2.559819,-0.2695368,-0.0549909,-0.1825464,13.50002,0
-5.769012,-29.42935,2.18087,-0.2712736,-0.0561457,-0.1815381,13.60002,0
-5.330017,-29.88281,1.914766,-0.2727567,-0.05714314,-0.1806903,13.70002,0
-5.352081,-29.9707,1.560663,-0.2731075,-0.05720967,-0.1800446,13.80002,0
-5.674072,-30.32883,-358.6827,-0.2734325,-0.05686851,-0.1803195,13.90002,0
-6.202209,-30.78827,-358.728,-0.2738712,-0.05580811,-0.1814154,14.00002,0
-6.669067,-31.04892,-358.6461,-0.2736047,-0.05513123,-0.1824739,14.10002,0
-7.154724,-31.14896,-358.6652,-0.2728416,-0.05397763,-0.1837213,14.20002,0
-7.37149,-31.24918,-358.5522,-0.2730235,-0.05357125,-0.184727,14.30002,0
-7.509583,-31.29373,-358.4069,-0.2735572,-0.05321167,-0.1855193,14.40002,0
-7.679749,-31.33615,-358.2796,-0.2738349,-0.05278037,-0.1862589,14.50002,0
-7.711884,-31.39575,-358.1764,-0.27413,-0.05263431,-0.1867779,14.60002,0
-7.773163,-31.13428,-358.1189,-0.2738613,-0.05250559,-0.1866496,14.70002,0
-7.97345,-30.54877,-358.1263,-0.2724068,-0.05210071,-0.1864534,14.80002,0
-8.115692,-29.84113,-358.2981,-0.270723,-0.05175746,-0.1861798,14.90002,0
-8.158966,-28.63293,-358.4326,-0.2684927,-0.05166571,-0.1854569,15.00002,0
-8.713135,-27.26111,-358.5185,-0.2654821,-0.05089557,-0.1851996,15.10002,0
-9.648254,-25.02682,-358.6002,-0.2610973,-0.04914326,-0.1853675,15.20002,0
-10.69296,-23.38812,-358.8192,-0.2571892,-0.04747115,-0.1864056,15.30002,0
-10.78906,-23.00485,-359.2008,-0.2551364,-0.0473333,-0.1868482,15.40002,0
-10.85529,-22.90347,-359.39,-0.2540817,-0.04734252,-0.186657,15.50002,0
-10.4642,-23.33545,-359.5794,-0.2544591,-0.04813766,-0.1860577,15.60002,0
-10.37527,-23.84882,-359.5797,-0.2558523,-0.04846599,-0.1854294,15.70002,0
-10.24356,-24.21375,-359.5196,-0.257106,-0.04868266,-0.1850812,15.80002,0
-10.10843,-24.37073,-359.5751,-0.2576209,-0.04885932,-0.1847736,15.90002,0
-9.541016,-24.68488,-359.7105,-0.2582191,-0.04985557,-0.1844978,16.00002,0
-9.021118,-25.09149,-359.8305,-0.2587495,-0.05094225,-0.1838889,16.10003,0
-8.642944,-25.18918,-359.9489,-0.2587659,-0.0515545,-0.1833647,16.20003,0
-8.368134,-25.25595,-359.984,-0.258891,-0.05197186,-0.1830075,16.30003,0
-7.881714,-25.44144,-359.9124,-0.2591568,-0.05261873,-0.1821699,16.40003,0
-1.675934,-26.79593,1.109909,-0.2621753,-0.0618592,-0.1820332,16.50003,0
3.724296,-27.3212,1.556229,-0.2671748,-0.0686491,-0.1797528,16.60003,0
6.292603,-28.6918,1.141797,-0.2728733,-0.07299681,-0.1778402,16.70003,0
8.676892,-30.29871,359.8345,-0.2783568,-0.07725884,-0.1747671,16.80003,0
10.59884,-31.28223,359.3813,-0.28365,-0.08134756,-0.1715916,16.90003,0
11.70856,-31.23657,359.1556,-0.2864127,-0.08361492,-0.1691211,17.00003,0
11.99091,-30.5394,359.3695,-0.2869465,-0.08463484,-0.1674451,17.10003,0
12.37229,-26.87231,359.405,-0.2814349,-0.0846391,-0.1647775,17.20003,0
13.76248,-14.22232,0.5049079,-0.2626278,-0.0851278,-0.1612814,17.30003,0
15.48827,-0.797821,1.983749,-0.2405044,-0.0859639,-0.1620329,17.40003,0
15.67094,13.83046,4.003247,-0.214448,-0.08518334,-0.1675813,17.50003,0
14.10991,19.60169,4.592615,-0.2020951,-0.08183569,-0.1717387,17.60003,0
10.48843,19.5146,3.782819,-0.1973629,-0.07641649,-0.1728639,17.70003,0
5.955207,16.94282,2.475976,-0.1970648,-0.06919954,-0.1748478,17.80003,0
